Normal 0,Normal 1,Normal 2,Normal 3,Normal 4,Normal 5,Normal 6,Normal 7,Normal 8,Normal 9,Normal 10,Normal 11,Normal 12,Normal 13,Normal 14,Normal 15,Normal 16,Normal 17
98.9533,,,,,,,,,,,,,101.5849,,,,
99.53419,,,,,,,,,,,,,99.9364,,,,
98.4902,,,,,,,,,,,,,100.5406,,,,
97.2295,,,,,,,,,,,,,101.6183,,,,
95.2337,,,,,,,,,,,,,99.6711,,,,
94.6511,,,,,,,,,,,,,101.2252,,,,
96.1241,,,,,,,,,,,,,101.6557,,,,
96.462,,,,,,,,,,,,,101.1055,,,,
99.3917,,,,,,,,,,,,,100.5319,,,,
99.2568,,,,,,,,,,,,,100.7173,,,,
97.7267,,,,,,,,,,,,,99.6177,,,,
97.5199,,,,,,,,,,,,,98.912,,,,
97.8829,,,,,,,,,,,,,100.9563,,,,
98.4292,,,,,,,,,,,,,99.09869,,,,
97.564,,,,,,,,,,,,,99.05099,,,,
96.7856,,,,,,,,,,,,,100.117,,,,
95.455,,,,,,,,,,,,,99.3174,,,,
94.325,,,,,,,,,,,,,98.7403,,,,
96.0214,,,,,,,,,,,,,98.5446,,,,
96.4024,,,,,,,,,,,,,97.8922,,,,
94.73911,,,,,,,,,,,,,98.4974,,,,
92.5599,,,,,,,,,,,,,97.97971,,,,
93.2787,,,,,,,,,,,,,98.6469,,,,
92.7963,,,,,,,,,,,,,100.9121,,,,
94.5461,,,,,,,,,,,,,99.2308,,,,
94.6041,,,,,,,,,,,,,100.2119,,,,
95.7165,,,,,,,,,,,,,102.1718,,,,
94.6529,,,,,,,,,,,,,103.3854,,,,
94.78999,,,,,,,,,,,,,102.4835,,,,
96.6212,,,,,,,,,,,,,104.09,,,,
96.6653,,,,,,,,,,,,,104.6785,,,,
95.1263,,,,,,,,,,,,,105.4746,,,,
94.4614,,,,,,,,,,,,,104.8084,,,,
94.1359,,,,,,,,,,,,,104.0483,,,,
93.2609,,,,,,,,,,,,,102.6039,,,,
94.2336,,,,,,,,,,,,,100.2537,,,,
95.6453,,,,,,,,,,,,,101.9736,,,,
95.9466,,,,,,,,,,,,,102.2431,,,,
95.7467,,,,,,,,,,,,,102.6748,,,,
93.9918,,,,,,,,,,,,,103.9246,,,,
92.4264,,,,,,,,,,,,,103.3222,,,,
93.31081,,,,,,,,,,,,,103.4082,,,,
93.3984,,,,,,,,,,,,,103.7105,,,,
93.3519,,,,,,,,,,,,,100.7967,,,,
93.1647,,,,,,,,,,,,,98.9599,,,,
94.1836,,,,,,,,,,,,,98.86501,,,,
95.2692,,,,,,,,,,,,,99.4813,,,,
93.0535,,,,,,,,,,,,,101.3749,,,,
93.1282,,,,,,,,,,,,,102.9128,,,,
95.3352,,,,,,,,,,,,,103.5556,,,,
94.4593,,,,,,,,,,,,,102.4515,,,,
93.53909,,,,,,,,,,,,,100.9714,,,,
93.8665,,,,,,,,,,,,,100.7879,,,,
94.49149,,,,,,,,,,,,,100.646,,,,
94.162,,,,,,,,,,,,,100.3677,,,,
94.3225,,,,,,,,,,,,,101.5995,,,,
96.4092,,,,,,,,,,,,,100.9385,,,,
95.837,,,,,,,,,,,,,101.5478,,,,
95.5545,,,,,,,,,,,,,100.5121,,,,
95.0121,,,,,,,,,,,,,101.7586,,,,
94.6271,,,,,,,,,,,,,102.0152,,,,
95.8153,,,,,,,,,,,,,99.9993,,,,
96.49039,,,,,,,,,,,,,101.0507,,,,
97.6112,,,,,,,,,,,,,101.6973,,,,
95.4107,,,,,,,,,,,,,102.1965,,,,
96.06219,,,,,,,,,,,,,101.8298,,,,
97.7475,,,,,,,,,,,,,101.1014,,,,
97.15981,,,,,,,,,,,,,100.094,,,,
97.77911,,,,,,,,,,,,,98.808,,,,
96.6552,,,,,,,,,,,,,99.6808,,,,
96.8344,,,,,,,,,,,,,99.1076,,,,
96.4905,,,,,,,,,,,,,97.9876,,,,
96.4688,,,,,,,,,,,,,99.037,,,,
96.3974,,,,,,,,,,,,,97.2785,,,,
96.3866,,,,,,,,,,,,,98.3242,,,,
98.0488,,,,,,,,,,,,,98.7701,,,,
96.1421,,,,,,,,,,,,,98.0064,,,,
98.3754,,,,,,,,,,,,,97.9903,,,,
96.93259,,,,,,,,,,,,,96.8407,,,,
95.6949,,,,,,,,,,,,,97.2313,,,,
94.3692,,,,,,,,,,,,,97.0917,,,,
92.7342,,,,,,,,,,,,,96.8949,,,,
92.1266,,,,,,,,,,,,,96.1107,,,,
91.726,,,,,,,,,,,,,96.4903,,,,
92.9652,,,,,,,,,,,,,96.7506,,,,
93.3202,,,,,,,,,,,,,95.4268,,,,
93.5902,,,,,,,,,,,,,95.35519,,,,
93.3832,,,,,,,,,,,,,96.7181,,,,
95.0722,,,,,,,,,,,,,98.4959,,,,
94.6431,,,,,,,,,,,,,97.4271,,,,
96.945,,,,,,,,,,,,,96.4808,,,,
96.8072,,,,,,,,,,,,,95.7653,,,,
94.0817,,,,,,,,,,,,,95.2442,,,,
94.8265,,,,,,,,,,,,,93.97179,,,,
95.6892,,,,,,,,,,,,,95.28461,,,,
96.985,,,,,,,,,,,,,95.1346,,,,
97.7123,,,,,,,,,,,,,94.3582,,,,
96.939,,,,,,,,,,,,,97.97939,,,,
97.4664,,,,,,,,,,,,,99.5015,,,,
97.3871,,,,,,,,,,,,,98.6736,,,,
97.3694,,,,,,,,,,,,,100.7333,,,,
95.6882,,,,,,,,,,,,,100.2048,,,,
94.5406,,,,,,,,,,,,,99.2674,,,,
95.95129,,,,,,,,,,,,,99.6307,,,,
95.7691,,,,,,,,,,,,,99.5916,,,,
95.9412,,,,,,,,,,,,,99.2249,,,,
96.0633,,,,,,,,,,,,,99.4365,,,,
95.2007,,,,,,,,,,,,,99.0426,,,,
95.925,,,,,,,,,,,,,98.012,,,,
96.53139,,,,,,,,,,,,,98.8018,,,,
96.5215,,,,,,,,,,,,,98.2547,,,,
96.1964,,,,,,,,,,,,,97.2236,,,,
96.6799,,,,,,,,,,,,,96.9484,,,,
97.1632,,,,,,,,,,,,,99.0589,,,,
97.8044,,,,,,,,,,,,,98.1758,,,,
97.0776,,,,,,,,,,,,,99.664,,,,
96.7174,,,,,,,,,,,,,100.1945,,,,
97.08131,,,,,,,,,,,,,99.43501,,,,
95.6782,,,,,,,,,,,,,98.8476,,,,
95.5054,,,,,,,,,,,,,100.1339,,,,
96.4853,,,,,,,,,,,,,100.79,,,,
96.68491,,,,,,,,,,,,,101.5132,,,,
96.1301,,,,,,,,,,,,,102.3209,,,,
95.228,,,,,,,,,,,,,101.3801,,,,
93.6569,,,,,,,,,,,,,100.7957,,,,
95.0892,,,,,,,,,,,,,102.9737,,,,
94.749,,,,,,,,,,,,,101.2634,,,,
96.0764,,,,,,,,,,,,,101.0731,,,,
94.80659,,,,,,,,,,,,,103.2334,,,,
94.3981,,,,,,,,,,,,,102.7187,,,,
94.47369,,,,,,,,,,,,,101.1366,,,,
93.9993,,,,,,,,,,,,,102.268,,,,
92.9992,,,,,,,,,,,,,101.8727,,,,
93.8361,,,,,,,,,,,,,100.1249,,,,
92.5604,,,,,,,,,,,,,99.2647,,,,
95.0771,,,,,,,,,,,,,98.3843,,,,
95.6522,,,,,,,,,,,,,98.3896,,,,
94.2088,,,,,,,,,,,,,98.6775,,,,
94.679,,,,,,,,,,,,,99.697,,,,
93.542,,,,,,,,,,,,,100.3916,,,,
93.8119,,,,,,,,,,,,,100.1336,,,,
94.4352,,,,,,,,,,,,,101.7569,,,,
94.9748,,,,,,,,,,,,,100.516,,,,
93.3119,,,,,,,,,,,,,100.4606,,,,
93.8447,,,,,,,,,,,,,100.0985,,,,
92.20741,,,,,,,,,,,,,98.9619,,,,
90.8983,,,,,,,,,,,,,98.2696,,,,
90.4586,,,,,,,,,,,,,100.2868,,,,
92.8176,,,,,,,,,,,,,99.8101,,,,
94.1142,,,,,,,,,,,,,100.5352,,,,
94.6594,,,,,,,,,,,,,101.1308,,,,
94.6993,,,,,,,,,,,,,98.826,,,,
94.5672,,,,,,,,,,,,,98.5937,,,,
92.6769,,,,,,,,,,,,,100.906,,,,
93.3278,,,,,,,,,,,,,100.9439,,,,
94.6539,,,,,,,,,,,,,99.6744,,,,
95.5308,,,,,,,,,,,,,97.0108,,,,
95.3098,,,,,,,,,,,,,96.2879,,,,
93.798,,,,,,,,,,,,,98.7165,,,,
93.0928,,,,,,,,,,,,,98.4344,,,,
94.2426,,,,,,,,,,,,,97.2801,,,,
94.5667,,,,,,,,,,,,,98.2916,,,,
95.2949,,,,,,,,,,,,,100.3072,,,,
95.4606,,,,,,,,,,,,,100.8223,,,,
94.6215,,,,,,,,,,,,,99.9673,,,,
96.8436,,,,,,,,,,,,,98.6431,,,,
99.0147,,,,,,,,,,,,,99.4554,,,,
100.6952,,,,,,,,,,,,,98.6994,,,,
