24/02/2015 11:20,30/04/2015 13:10,22/06/2015 07:31,20/10/2015 09:18
98.7686,99.0116,103.3476,102.5748
97.5397,98.68069,102.4184,101.4158
99.6795,97.0747,102.0377,102.6698
100.1032,97.5248,101.8072,100.8737
100.6375,97.8829,100.8304,101.2878
100.6214,97.6208,99.9304,100.1555
98.7571,99.5197,101.0773,99.9194
98.5131,98.9952,101.5681,100.2864
97.0155,100.4387,101.7145,101.4287
93.718,98.65491,102.7289,102.7884
94.5185,99.7678,102.7171,102.9283
95.28529,98.8744,102.3369,101.8251
95.1785,99.426,100.2376,103.4551
94.181,97.7363,97.5392,103.086
94.31281,97.5677,97.5682,103.0814
94.97781,97.7703,97.2137,101.9207
96.16,98.6288,96.4493,102.0589
96.1741,96.948,97.9388,101.7008
97.3051,98.66859,99.1967,99.29739
97.57159,97.6847,99.6827,100.6747
98.8086,97.5494,98.9173,102.2528
97.2454,98.2473,99.1426,103.3799
97.9398,97.532,99.3398,104.7781
99.6157,96.7966,97.2017,106.0391
100.1834,99.2214,96.8987,106.2512
99.6648,99.5794,97.08459,102.7945
99.5267,98.59579,98.3558,101.4246
98.6411,98.881,99.6282,101.6446
99.3128,97.76929,101.0912,104.4094
98.6951,98.8348,101.6511,103.2789
96.8768,98.9567,101.5429,103.6301
97.8302,98.3092,100.0324,102.8865
98.87109,97.8291,97.8316,102.5995
99.5813,96.9528,98.45309,102.04
101.1573,96.57339,99.964,102.6143
99.1178,97.5174,98.6054,102.1956
100.1281,99.025,98.675,103.4652
100.0053,99.60921,99.8025,103.2376
99.3473,99.2555,99.2676,101.3364
99.1712,97.02509,97.1141,100.1144
101.2419,97.2262,96.1264,99.5267
98.3174,97.57471,93.9032,100.6365
97.7617,96.6068,96.5558,103.4768
97.5145,96.1844,96.458,101.8586
96.243,96.30791,96.4199,103.4907
96.4407,94.1564,97.1427,102.4534
97.4847,95.7587,97.2043,101.0666
96.8304,95.7444,99.4654,99.7956
97.1333,94.7528,101.1603,99.11839
97.2818,95.6155,98.13,100.4529
97.1726,95.3563,97.1256,100.0826
97.2859,94.1717,98.5485,98.2132
98.0978,93.21329,98.8588,98.48579
98.5991,93.9074,97.6591,99.8139
97.4818,93.4556,99.0891,99.0697
96.61,93.9225,100.6632,98.3785
94.9931,95.2294,98.912,96.851
95.6405,96.6986,100.6165,96.6552
96.73351,95.8907,99.8888,96.9603
97.4539,96.65569,98.0668,97.5449
96.1955,97.03239,97.9725,98.47279
97.7579,96.3312,97.6913,97.2894
97.84019,96.10851,99.3846,96.5704
97.8976,95.81779,98.2301,96.962
97.89861,96.71449,96.7222,98.0895
97.4549,98.5599,96.961,98.655
97.051,97.4797,96.1981,98.25249
96.5057,96.3339,96.496,100.5106
100.5126,95.6602,98.3468,100.6772
102.2704,96.2125,95.8696,99.8922
101.7719,95.7521,97.2635,99.6288
101.4247,95.9209,97.5777,98.8687
99.1825,94.5558,97.8506,99.9603
98.7339,95.1906,99.0732,101.9205
96.74371,95.3232,97.2181,101.7149
98.6857,94.2497,98.0162,101.0363
98.8941,94.6716,98.3768,102.1334
98.2977,94.1939,99.9872,101.717
99.5702,95.1212,100.3438,101.072
101.7009,96.28059,99.2073,100.7221
100.9785,95.65781,102.8241,100.9387
100.9113,96.4045,102.7749,102.0883
101.775,95.72231,103.2586,103.5868
98.793,96.9819,103.4888,101.1982
98.1732,97.4221,102.4685,99.5671
98.6264,96.6743,102.3917,100.8697
96.6206,97.2907,103.1001,100.51
95.6529,97.3795,101.5446,102.1079
94.4567,97.1525,101.9516,102.2065
95.9024,96.0433,102.2469,102.0056
98.3273,96.0081,101.6662,102.9082
98.4284,97.7548,100.3076,100.7745
96.9328,99.6681,100.9654,100.3385
96.53239,98.145,100.1935,101.9038
97.3201,97.8267,100.6118,102.2535
96.81499,98.3311,100.3324,101.7041
97.0488,98.6775,99.3303,101.724
97.6422,98.8232,97.4147,103.1644
98.5862,100.1617,98.5365,103.018
98.9185,99.5709,99.0886,104.9905
98.03059,98.6458,98.27821,102.9877
97.69839,98.7394,99.2059,102.4852
97.8715,99.7502,99.5952,102.9647
97.05051,100.164,99.4134,101.3166
97.3471,101.0353,100.1894,101.0263
95.7857,100.0604,99.5218,99.814
97.9322,100.9354,98.9127,99.7354
100.6119,99.8789,98.0468,99.6029
100.5043,100.1773,97.31,101.9508
98.6544,100.8392,96.1043,102.7843
97.5043,100.5212,94.0048,100.3245
95.8283,101.1806,93.0148,101.2065
95.5725,100.4684,94.1167,101.8474
95.2271,100.2654,94.66219,102.5612
95.3156,100.025,95.9936,101.3493
92.4258,98.4061,98.9856,101.3806
96.2187,97.5304,97.9246,102.8677
94.9093,96.3841,97.76511,104.3481
96.2169,97.1706,96.8723,102.1195
95.9117,97.3269,97.1368,101.5088
98.23051,97.93011,94.7996,102.2997
98.1111,97.5908,93.9001,101.958
98.6418,97.9262,94.0822,102.158
98.006,98.3176,94.72321,100.3491
98.62189,100.133,94.1706,100.058
97.0911,100.8727,92.2053,99.3208
97.1433,101.4121,91.7689,99.5012
97.2241,102.6552,92.9319,99.6234
98.0648,102.6191,93.883,98.17361
99.9094,100.8986,97.1533,100.698
99.6431,99.7075,98.1223,99.6569
97.7751,99.9642,97.1452,99.1972
98.0186,100.3253,95.0537,100.2334
96.06371,99.7168,94.4249,100.3477
97.6431,101.6143,95.3615,99.7228
97.2337,102.8093,95.9735,99.0172
97.6407,102.9802,96.4708,99.2368
98.9533,103.2739,96.8433,101.5849
99.53419,100.91,96.0421,99.9364
98.4902,100.6337,95.7366,100.5406
97.2295,99.7669,95.672,101.6183
95.2337,100.8139,96.6215,99.6711
94.6511,99.4777,95.5197,101.2252
96.1241,99.5923,95.4171,101.6557
96.462,98.8766,94.1305,101.1055
99.3917,99.6721,95.168,100.5319
99.2568,98.2628,94.5603,100.7173
97.7267,99.5483,95.2624,99.6177
